naslov,text
Brat i sestra,"Iste nam je boje krv
boja koze, isti kosmari 
ne smo rekli sudbini
posle svega sta smo ja i ti

Ref.
Brat i sestra svakako
kci i otac nekako
muz i zena nikako

Sve smo mogli biti mi
da je duza bila noc
ne smo rekli sudbini
posle svega sta smo ja i ti

Ref. 3x

Brat i sestra"
Bruka,"O, pa ti to meni namerno
radis, pa ti to meni namerno
zbog nje novu otvaras flasu
mesto meni njoj punis casu

Ref.
Bruka, pijete
a meni je muka
sta ce na njoj tvoja ruka
kako ti ne dosadi

Bruka, pijete
a meni je muka
hajde reci da je volis
ako ti se ne gadi

O, pa ti to meni namerno
radis, pa ti to meni namerno
za nju pice slatko i hladno
meni toplo, jeftino, jadno

Ref.

Ref.

Ref."
"Brze, brze","Na vrat, na nos, na brzinu
drugacije ja ne umem
zivim brzo al' za tobom
polako cu ja da umrem

Uspeh, novac, karijera
sve to jednog dana prodje
ustanes pa opet legnes
uvek ti na isto dodje

Ref. 2x
Hajde brze, brze moj zivote
prolazi mi nemoj da se molis
samo dva puta se stvarno zivi
kad se rodis i kad volis

Danas jesmo, sutra nismo
bice ono ili ovo
isti dani, iste noci
ni mi nismo nista novo

Uspeh, novac, karijera
sve to jednog dana prodje
ustanes pa opet legnes
uvek ti na isto dodje

Ref. 2x

Ref. 2x"
Budi decko moj,"Treba mi osmeh tvoj
treba mi ruka tvoja
budi decko moj
ja devojka tvoja

Da me pratis na igranke
da dolazis na sastanke
da te pratim u armiju
kad jesenje kise liju

Ref. 2x
Da mi pises, da ti pisem
pisma nezna, duga
da se hvalis drugovima
da devojku mori tuga
(budi decko moj)

Ja necu nekog drugog
to nece dusa moja
budi decko moj
ja devojka tvoja

Da mi budes san i java
kad me sunce obasjava
da me gleda oko tvoje
da ja nesto imam svoje

Ref. 2x"
Cigani,"Da sam sad na mostu 
odmah bih se bacila
kad sam mu u ponoc
opet ledja videla

Preko dana spava
veran mi je
nocu budan luta
jednostavno takav je
danju dobar, nocu nije

Ref.
Cigani udrite
sve mu pare nocas uzmite
neka se zaduzi
kad god me rastuzi

Cigani udrite
kozu mu sa ledja skinite
da moli da mu platim dug
k'o da sam mu drug

A ja da mu ne dam
ne dam ni za lek
kad je danju covek
nocu necovek

Da sam sad na mostu 
odmah bih se bacila
kada ga iz srca
nisam jos izbacila

Ref.

Ref."
Cipelice,"Ja malena za zemlju pripela
visokoga momka srela
momka srela 
pa ga zavolela

Ref. 2x
Kupuj majko cipelice
sto imaju podpetice
dragi visok ko jelika
hocu ja da budem velika

Kad me ljubi mora se sagnuti
vrat ga moze zaboleti
pa se plasim 
da se ne naljuti

Ref. 2x

Cipelica s petom bi me spasila
ne bih vise bila mala
mislio bi kako 
sam porasla

Ref.

Kupuj majko cipelice
sto imaju podpetice
(5x)"
Crni sneg (duet Aca Lukas),"Pada crni sneg
pada po nama
napadao svih
sedam metara tuge
za noci preduge

Metar po metar
za svaku godinu
koju sam bez sna
sama provela
dok sam te cekala

Koliko pobede
toliko poraza
koliko predaje
toliko izdaje
da bi me na
kraju ostavila ti

Ref.
Ja znam necu te preboleti
mogu ja zbog
tebe brzo umreti
al' znam nesto
drugo plasi me
mozda cu preziveti

Pada crni sneg
veje danima
nek' me zaveje
manje bolece
nego bez tebe prolece

Crna pahulja
moja postelja
neka pokriva
s tobom propale dane
da trag ne ostane

Ref. 3x"
Crveno,"Nisam ti ja tako dobra s njom
da te ne bih takla ramenom
ako ti se dopadam 
sutra ces od muke puci
sto umesto poljupca 
rekao si vozim te kuci

Ref. 2x
Prodji sa mnom kroz crveno
bice moje sto je njeno
vezi oci i ne koci
prodji sa mnom kroz crveno

Znas sta mislim o takvim kao ti
lepi, verni ali dosadni
ako ti se dopadam 
sutra ces od muke puci
sto umesto poljupca 
rekao si vozim te kuci

Ref. 4x"
Cudo,"Cudo moje
ko me to od tebe skriva
dodji ne mozes da promasis
samo ti znas da sam ziva

Cudo moje
padni mi ko kisa s neba
i ponesi darove
kome treba sve mu treba

Ref.
Ako sam bila neverna losa
sirokog srca, nagradi me
ako sam bila dobra i verna
za svaki slucaj kazni me

Hej cudo hej, hej cudo hej
ako poludim samo se smej
hej cudo hej, dobra il' zla
na kraju uvek, zar ne placem ja

Cudo moje
sta je to u mojoj krvi
da promenim ih stotinu
svaki put si meni prvi

Cudo moje
ti nazdravi mi casom zuci
jer u zivotu drzi me
samo ono sto me muci

Ref.

Hej cudo hej, hej cudo hej
hej cudo hej, hej cudo hej
ako poludim samo se smej
hej cudo hej, dobra il' zla
na kraju uvek, zar ne placem ja"
Culo bola,"Mesec nocas zove zemlju
mozda je i dobije
samo mene nece niko
presekla sam linije

Mislio si da sam jaka
da cu da izdrzim sve
a ja isto ko i svaka
pucam gde je najtanje

Ref.
Ubijena celo vece sedim ja
ubijena od tih hladnih pogleda
ubijena dok ti letis oko nje
ubijena, culo bola zivo je

Nocas traze Atlantidu
ako je i pronadju
naci ce i mene tamo
'mesto u tvom narucju

Ref.

Priznao si, na svoj nacin
lose si me tesio
popila sam koju vise
bas si me se resio

Jer ko tesi taj i gresi
a ti si pogresio
odlazim, ne mogu vise
bas si me se resio

Ref."
Cvetak zanovetak,"Sa momcima kada setam
zbijam salu, zanovetam
a to njima nije pravo
pa mi kazu da sam djavo

Ref. 2x
Ja sam cvetak, cudan cvetak
ja sam cvetak zanovetak
neka znade momce svako
ubrati me nece lako

Ja sam cvetak, cudan cvetak
ja sam cvetak zanovetak

Znam da mnogi za mnom zude
neka, neka, nek' se trude
onaj ko me begenise
neka cezne i uzdise

Ref. 2x

Neka bude sta ce biti
ja se necu promeniti
ko jos moze da se nadje
sa mnom na kraj da izadje

Ref. 2x"
Da li to ljubav pravi od nas slabice,"I opet si pobedio
i opet me povredio
u glavi isti pritisak
na desnom dlanu rdjav znak
2x

Ref. 2x
Da li to ljubav pravi od nas slabice
il' ja to samo tako izgledam
al' kad te sretnem meni treba pice
u oci da te pogledam

I opet si me slomio
i ranu mi otvorio
al' mislila sam, dobro je
i nista se ne poznaje

Ref."
Da ne cuje zlo,"Hej ispod leda
me sunce gledalo
nesvanu jutra bez meda
da ne cuje zlo

Tekla recica studenica
a ja nasla gde je precica

Kad sam tebe prezalila
sve cu drugo lako
nista meni vise nece
ici naopako

Samo da, samo da
ne cuje zlo

Lete ptice, grabljivice
tudju srecu grabe
pa neka ih, sreca nije
ni bila za slabe

Samo da, samo da
ne cuje zlo

Tekla recica studenica
a ja nasla gde je precica

Ref.
Ide zivot, na dve vode
obe vode tebi brode
uzvodno ce voda stati
nizvodno joj necu dati

Da mi kupis rudnik zlata
ne bi ti pomoglo
daleko ti lepa kuca
a sto ne bi moglo

Samo da, samo da
ne cuje zlo

Tekla recica studenica
a ja nasla gde je precica

Ref.

Hej ispod leda
me sunce gledalo"
Da raskinem sa njom,"Uradi mi sad sve sto si 
s njom bez mene radio
znam radio si to 
samo da bi mi se zgadio

Volim ukus tvoga djona 
cak i kada na njemu donosis mi nju
jer vazno je da si mi tu

A sad mi daj njen broj 
da 'mesto tebe ja raskinem sa njom
da pozovem je, i kazem da si tu 
i da si za mnom lud
pusti me

Ref. 2x
Pusti me da raskinem s njom 
umesto tebe ja
neka slusa nocas kako volimo se
a onda spustim slusalicu jer sama ne mogu 
da uzdisem za oboje

A sada muci me 
kao sto si i nju mucio
znam radio si to 
samo da bi mi se smucio

Ref. 2x"
Da si nekad do bola voleo,"Da ti moje svicu zore
da cutanjem mojim cutis
moju tugu kao more
mogao bi da naslutis

Ref. 2x
Da si nekad do bola voleo
da ti dusa zaboravna nije
ni ti mene ne bi preboleo
pa makar bi znao kako mi je

Da te moje noci guse
da samoci danak dajes
slutio bi u dnu duse
koliko mi nedostajes

Ref. 2x

Da te moja tuga truje
da patnjama mojim patis
dusi sto te ocekuje
zurio bi da se vratis

Ref. 2x"
Decenija,"Dvadeset mi je i kusur godina
a prvi put placem i to je normalno
nema te a ja taman se navikla
da sam punoletna od tvojih dodira

S koliko godina postajes
umoran, sam i star
kad nemas kad
da budes mlad

Ref.
Moja si sreca i nesreca
koja od vas dve je bar minut starija
na pocetku i na kraju ti
a u pauzi jedna decenija

Izbegavam svoj glas
jer zvuci kao krik
plasi me i sluti
i to je normalno

Izbegavam svoj lik
na starim slikama
ta zena sto se smeje
ja ne znam ko je to

S koliko godina postajes 
umoran, sam i star
kad nemas kad
da budes mlad

Ref. 2x"
Detelina sa cetiri lista,"Ja sam mlada kao bela rada
tek mi srce obasjalo lice
tek sam bela krila rasirila
i prhnula medju golubice
(2x)

Ref. 2x
Detelino sa cetiri lista
odolecu tuzi i zalosti
zbogom rosne livade detinstva
zdravo plava nebeska mladosti

Duso moja plava od zumbula
dodjose nam najcvetniji dani
nista lepse do sad nisam cula
od ljubavi sto se deci brani
(2x)

Ref. 2x

Sto mi majko ne rece ranije
gde se kriju najsladje jabuke
sto ne rece da se najsjajnije
zvezde beru sa cetiri ruke
(2x)

Ref. 2x"
Devojko vestice,"Mislis li na mene 
tugo garava
ili ti je ravno 
sve do Kosova

Ljubila sam jagnje
 ujeo me vuk
sad zbog neke druge 
pijes kao smuk

Ref.
Devojko vestice
srecnice i gresnice
vrati ga, volim ga
jer ljubav nema granice

Sevnula je munja
 udari me grom
dokle ces ti tako 
terati po svom

Trazio si mnogo
 imao si sve
a ja samo zmiju 
da me otruje

Ref."
Didule,"Ref.
A didu didu didule
zbogom i prijatno
sve sto tebi svidja se
meni je odvratno

Pusti me s tim glupostima
da zbog tebe budem formalno 
dobra sa njom
da ne bi da joj kupim nesto
i vodim je na rucak
subotom i nedeljom

Ne volim te vise
sad te psujem tise
i kad ljubav umre
zivi sujeta

Ne delim ja nikad
s drugom prvo mesto
a kamoli svoju
stranu kreveta

Ref. 2x

Rekla bih ti ko je ona
ko je preko nje sve presao
ne vuci me
i nemoj ti sad meni lutko
lutka te je precrtala
daj postedi me

Ref. 2x"
